date,game_pk,game_number,match,total_line,reason,polymarket_event_slug,polymarket_market_slug
2026-05-08,823957,1,Atlanta Braves @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-lad-2026-05-08,
2026-05-08,822904,1,Chicago Cubs @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-chc-tex-2026-05-08,
2026-05-08,825088,1,New York Mets @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-ari-2026-05-08,
2026-05-08,823225,1,Pittsburgh Pirates @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-sf-2026-05-08,
2026-05-08,823303,1,St. Louis Cardinals @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-stl-sd-2026-05-08,
2026-05-09,823955,1,Atlanta Braves @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-lad-2026-05-09,
2026-05-09,823224,1,Pittsburgh Pirates @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-sf-2026-05-09,
2026-05-11,822901,1,Arizona Diamondbacks @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-ari-tex-2026-05-11,
2026-05-11,823953,1,San Francisco Giants @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sf-lad-2026-05-11,
2026-05-11,824199,1,Seattle Mariners @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-hou-2026-05-11,
2026-05-12,822903,1,Arizona Diamondbacks @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-ari-tex-2026-05-12,
2026-05-12,823951,1,San Francisco Giants @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sf-lad-2026-05-12,
2026-05-12,824197,1,Seattle Mariners @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-hou-2026-05-12,
2026-05-12,825011,1,St. Louis Cardinals @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-stl-oak-2026-05-12,
2026-05-14,823950,1,San Francisco Giants @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sf-lad-2026-05-14,
2026-05-15,824360,1,Arizona Diamondbacks @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-ari-col-2026-05-15,
2026-05-15,823061,1,Kansas City Royals @ St. Louis Cardinals,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-kc-stl-2026-05-15,
2026-05-15,824037,1,Los Angeles Dodgers @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-laa-2026-05-15,
2026-05-15,823707,1,Milwaukee Brewers @ Minnesota Twins,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-mil-min-2026-05-15,
